stage,comparison_id,classifier,configuration_id,reference_configuration_id,phase,metric,unit,baseline_mean_across_seeds,reduced_mean_across_seeds,mean_paired_difference,std_paired_difference,ci95_low_paired_difference,ci95_high_paired_difference,mean_relative_change_percent,ci95_low_relative_change_percent,ci95_high_relative_change_percent,beneficial_change_percent,objective_direction,interpretation,scientific_sample_size,statistical_significance_claimed
V0.7-E,decision_tree__pairwise_correlation_filter_natural__vs__none_natural__training__process_cpu_time_sec,decision_tree,pairwise_correlation_filter_natural,none_natural,training,process_cpu_time_sec,seconds,0.14214705744000003,0.12261531421999998,-0.019531743220000033,0.04105614195865428,-0.07050967659520412,0.03144619015520406,-11.68322429826324,-44.768284603975644,21.401836007449162,11.68322429826324,minimize,uncertain,5,False
V0.7-E,decision_tree__pairwise_correlation_filter_natural__vs__none_natural__training__selected_input_bytes,decision_tree,pairwise_correlation_filter_natural,none_natural,training,selected_input_bytes,bytes,9632132.0,9408132.0,-224000.0,0.0,-224000.0,-224000.0,-2.3255495252764393,-2.3255495252764393,-2.3255495252764393,2.3255495252764393,minimize,clear_reduction,5,False
V0.7-E,decision_tree__pairwise_correlation_filter_natural__vs__none_natural__training__serialized_model_bytes,decision_tree,pairwise_correlation_filter_natural,none_natural,training,serialized_model_bytes,bytes,4132.0,4116.0,-16.0,0.0,-16.0,-16.0,-0.38922592029468583,-0.4284364114222066,-0.35001542916716505,0.38922592029468583,minimize,clear_reduction,5,False
V0.7-E,decision_tree__pairwise_correlation_filter_natural__vs__none_natural__training__throughput_records_sec,decision_tree,pairwise_correlation_filter_natural,none_natural,training,throughput_records_sec,records/second,230973.93827384044,263537.84176764113,32563.90349380066,78215.13269883579,-64553.010893073944,129680.81788067525,17.197834208581114,-28.589673255501936,62.98534167266416,17.197834208581114,maximize,uncertain,5,False
V0.7-E,decision_tree__pairwise_correlation_filter_natural__vs__none_natural__training__wall_time_sec,decision_tree,pairwise_correlation_filter_natural,none_natural,training,wall_time_sec,seconds,0.13378691312027513,0.11586775058025522,-0.017919162540019906,0.03753977259174254,-0.06453094666794312,0.02869262158790331,-11.448415781251537,-43.705321380463246,20.80848981796017,11.448415781251537,minimize,uncertain,5,False
V0.7-E,logistic_regression__mutual_information_select_k_best_k11__vs__none_natural__inference__absolute_peak_rss_mib,logistic_regression,mutual_information_select_k_best_k11,none_natural,inference,absolute_peak_rss_mib,MiB,154.12453125000002,152.535859375,-1.5886718750000057,0.0950720584034185,-1.7067194271546564,-1.470624322845355,-1.0307615870638593,-1.107102630764824,-0.9544205433628947,1.0307615870638593,minimize,clear_reduction,5,False
V0.7-E,logistic_regression__mutual_information_select_k_best_k11__vs__none_natural__inference__feature_count,logistic_regression,mutual_information_select_k_best_k11,none_natural,inference,feature_count,features,43.0,11.0,-32.0,0.0,-32.0,-32.0,-74.4186046511628,-74.4186046511628,-74.4186046511628,74.4186046511628,minimize,clear_reduction,5,False
V0.7-E,logistic_regression__mutual_information_select_k_best_k11__vs__none_natural__inference__incremental_peak_rss_mib,logistic_regression,mutual_information_select_k_best_k11,none_natural,inference,incremental_peak_rss_mib,MiB,0.4125,0.41,-0.002499999999999991,0.016298006013006617,-0.022736647308858816,0.017736647308858832,-0.5893493761140798,-5.438063608760849,4.25936485653269,0.5893493761140798,minimize,uncertain,5,False
V0.7-E,logistic_regression__mutual_information_select_k_best_k11__vs__none_natural__inference__per_operation_latency_sec,logistic_regression,mutual_information_select_k_best_k11,none_natural,inference,per_operation_latency_sec,seconds/operation,0.0023289981429293503,0.002068227311367252,-0.0002607708315620982,0.0003189628150719527,-0.0006568154758026676,0.00013527381267847117,-10.560934859219605,-26.27213091724069,5.150261198801481,10.560934859219605,minimize,uncertain,5,False
V0.7-E,logistic_regression__mutual_information_select_k_best_k11__vs__none_natural__inference__per_record_latency_sec,logistic_regression,mutual_information_select_k_best_k11,none_natural,inference,per_record_latency_sec,seconds/record,3.8816635715489176e-07,3.44704551894542e-07,-4.34618052603497e-08,5.316046917865879e-08,-1.0946924596711126e-07,2.2545635446411862e-08,-10.560934859219604,-26.272130917240695,5.1502611988014895,10.560934859219604,minimize,uncertain,5,False
V0.7-E,logistic_regression__mutual_information_select_k_best_k11__vs__none_natural__inference__process_cpu_time_sec,logistic_regression,mutual_information_select_k_best_k11,none_natural,inference,process_cpu_time_sec,seconds,1.25513537726,1.11080109412,-0.14433428314000005,0.17143876218421725,-0.35720362204075995,0.06853505576075983,-10.91587178995918,-26.859526051773774,5.027782471855414,10.91587178995918,minimize,uncertain,5,False
V0.7-E,logistic_regression__mutual_information_select_k_best_k11__vs__none_natural__inference__selected_input_bytes,logistic_regression,mutual_information_select_k_best_k11,none_natural,inference,selected_input_bytes,bytes,2064132.0,528132.0,-1536000.0,0.0,-1536000.0,-1536000.0,-74.41384562615181,-74.41384562615181,-74.41384562615181,74.41384562615181,minimize,clear_reduction,5,False
V0.7-E,logistic_regression__mutual_information_select_k_best_k11__vs__none_natural__inference__serialized_model_bytes,logistic_regression,mutual_information_select_k_best_k11,none_natural,inference,serialized_model_bytes,bytes,2342.0,1353.2,-988.8,13.386560424545209,-1005.421610138937,-972.1783898610629,-42.2203245089667,-42.93004313146615,-41.510605886467246,42.2203245089667,minimize,clear_reduction,5,False
V0.7-E,logistic_regression__mutual_information_select_k_best_k11__vs__none_natural__inference__throughput_records_sec,logistic_regression,mutual_information_select_k_best_k11,none_natural,inference,throughput_records_sec,records/second,2657222.118457039,3021304.778066951,364082.6596099121,413105.6528004662,-148855.7569268918,877021.076146716,14.449431708073115,-6.32102346064571,35.21988687679194,14.449431708073115,maximize,uncertain,5,False
V0.7-E,logistic_regression__mutual_information_select_k_best_k11__vs__none_natural__inference__wall_time_sec,logistic_regression,mutual_information_select_k_best_k11,none_natural,inference,wall_time_sec,seconds,1.1924470491798274,1.058932383420033,-0.1335146657597943,0.16330896131683978,-0.3362895236109658,0.06926019209137724,-10.560934859219605,-26.27213091724069,5.150261198801481,10.560934859219605,minimize,uncertain,5,False
V0.7-E,logistic_regression__mutual_information_select_k_best_k11__vs__none_natural__training__absolute_peak_rss_mib,logistic_regression,mutual_information_select_k_best_k11,none_natural,training,absolute_peak_rss_mib,MiB,183.117578125,165.191796875,-17.92578125,0.1993280567163902,-18.17327972185666,-17.67828277814334,-9.789328783861617,-9.938134502968985,-9.640523064754248,9.789328783861617,minimize,clear_reduction,5,False
V0.7-E,logistic_regression__mutual_information_select_k_best_k11__vs__none_natural__training__feature_count,logistic_regression,mutual_information_select_k_best_k11,none_natural,training,feature_count,features,43.0,11.0,-32.0,0.0,-32.0,-32.0,-74.4186046511628,-74.4186046511628,-74.4186046511628,74.4186046511628,minimize,clear_reduction,5,False
