stage,classifier,configuration_id,seed,phase,metric,unit,repetition_count,mean,median,std,min,max,coefficient_of_variation_percent,feature_count,selected_input_bytes,serialized_model_bytes,workload_sha256,environment_id,measurement_provenance,aggregation_scope
V0.7-E,decision_tree,mutual_information_select_k_best_k11,44,training,incremental_peak_rss_mib,MiB,10,2.7625,2.75,0.03952847075210474,2.75,2.875,1.4308948688544703,11,2464132,3540,af456a668638cdce5c3ab654bee66b4beaa6bf4fe4025ed383b43c5afcd18836,5b390d6532854ad704f8fe56280d2ea9b6cfebd95ced1b804d0e0ec3e1ecf82e,DIRECT_COMPUTATIONAL,ten_measurement_repetitions_within_seed
V0.7-E,decision_tree,mutual_information_select_k_best_k11,44,training,per_operation_latency_sec,seconds/operation,10,0.05229472490009357,0.04914230550002685,0.010332525887602464,0.040899399000409176,0.07449185100085742,19.758256511229828,11,2464132,3540,af456a668638cdce5c3ab654bee66b4beaa6bf4fe4025ed383b43c5afcd18836,5b390d6532854ad704f8fe56280d2ea9b6cfebd95ced1b804d0e0ec3e1ecf82e,DIRECT_COMPUTATIONAL,ten_measurement_repetitions_within_seed
V0.7-E,decision_tree,mutual_information_select_k_best_k11,44,training,per_record_latency_sec,seconds/record,10,1.8676687464319134e-06,1.7550823392866731e-06,3.6901878170008806e-07,1.4606928214431847e-06,2.660423250030622e-06,19.75825651122983,11,2464132,3540,af456a668638cdce5c3ab654bee66b4beaa6bf4fe4025ed383b43c5afcd18836,5b390d6532854ad704f8fe56280d2ea9b6cfebd95ced1b804d0e0ec3e1ecf82e,DIRECT_COMPUTATIONAL,ten_measurement_repetitions_within_seed
V0.7-E,decision_tree,mutual_information_select_k_best_k11,44,training,throughput_records_sec,records/second,10,551970.8621349336,571671.5047105185,94486.70163419121,375880.04088766314,684606.6368779618,17.11805968683419,11,2464132,3540,af456a668638cdce5c3ab654bee66b4beaa6bf4fe4025ed383b43c5afcd18836,5b390d6532854ad704f8fe56280d2ea9b6cfebd95ced1b804d0e0ec3e1ecf82e,DIRECT_COMPUTATIONAL,ten_measurement_repetitions_within_seed
V0.7-E,decision_tree,mutual_information_select_k_best_k11,45,inference,wall_time_sec,seconds,10,1.0567689633997361,1.0591700184995716,0.193850439100462,0.774384790998738,1.3515356329990027,18.343691555515115,11,528132,3044,0e5a942f9913a0777e33998719f08c3384086647d5b333b547eb47a7ba4d52aa,5b390d6532854ad704f8fe56280d2ea9b6cfebd95ced1b804d0e0ec3e1ecf82e,DIRECT_COMPUTATIONAL,ten_measurement_repetitions_within_seed
V0.7-E,decision_tree,mutual_information_select_k_best_k11,45,inference,process_cpu_time_sec,seconds,10,1.1019748121,1.1098697874999999,0.20079603637987575,0.8074427200000001,1.394396946,18.22147241253408,11,528132,3044,0e5a942f9913a0777e33998719f08c3384086647d5b333b547eb47a7ba4d52aa,5b390d6532854ad704f8fe56280d2ea9b6cfebd95ced1b804d0e0ec3e1ecf82e,DIRECT_COMPUTATIONAL,ten_measurement_repetitions_within_seed
V0.7-E,decision_tree,mutual_information_select_k_best_k11,45,inference,absolute_peak_rss_mib,MiB,10,152.896484375,152.9296875,0.22319432729472571,152.46875,153.265625,0.1459774096226506,11,528132,3044,0e5a942f9913a0777e33998719f08c3384086647d5b333b547eb47a7ba4d52aa,5b390d6532854ad704f8fe56280d2ea9b6cfebd95ced1b804d0e0ec3e1ecf82e,DIRECT_COMPUTATIONAL,ten_measurement_repetitions_within_seed
V0.7-E,decision_tree,mutual_information_select_k_best_k11,45,inference,incremental_peak_rss_mib,MiB,10,0.4125,0.375,0.06038073644245599,0.375,0.5,14.63775428908024,11,528132,3044,0e5a942f9913a0777e33998719f08c3384086647d5b333b547eb47a7ba4d52aa,5b390d6532854ad704f8fe56280d2ea9b6cfebd95ced1b804d0e0ec3e1ecf82e,DIRECT_COMPUTATIONAL,ten_measurement_repetitions_within_seed
V0.7-E,decision_tree,mutual_information_select_k_best_k11,45,inference,per_operation_latency_sec,seconds/operation,10,0.0020640018816401096,0.0020686914423819758,0.00037861413886808987,0.0015124702949194102,0.002639718033201177,18.343691555515115,11,528132,3044,0e5a942f9913a0777e33998719f08c3384086647d5b333b547eb47a7ba4d52aa,5b390d6532854ad704f8fe56280d2ea9b6cfebd95ced1b804d0e0ec3e1ecf82e,DIRECT_COMPUTATIONAL,ten_measurement_repetitions_within_seed
V0.7-E,decision_tree,mutual_information_select_k_best_k11,45,inference,per_record_latency_sec,seconds/record,10,3.440003136066849e-07,3.4478190706366266e-07,6.310235647801498e-08,2.5207838248656836e-07,4.3995300553352955e-07,18.343691555515118,11,528132,3044,0e5a942f9913a0777e33998719f08c3384086647d5b333b547eb47a7ba4d52aa,5b390d6532854ad704f8fe56280d2ea9b6cfebd95ced1b804d0e0ec3e1ecf82e,DIRECT_COMPUTATIONAL,ten_measurement_repetitions_within_seed
V0.7-E,decision_tree,mutual_information_select_k_best_k11,45,inference,throughput_records_sec,records/second,10,2997732.838228943,2904132.046644697,556916.3175173516,2272970.038668797,3967020.0599342687,18.57791696495466,11,528132,3044,0e5a942f9913a0777e33998719f08c3384086647d5b333b547eb47a7ba4d52aa,5b390d6532854ad704f8fe56280d2ea9b6cfebd95ced1b804d0e0ec3e1ecf82e,DIRECT_COMPUTATIONAL,ten_measurement_repetitions_within_seed
V0.7-E,decision_tree,mutual_information_select_k_best_k11,45,training,wall_time_sec,seconds,10,0.13933598399999028,0.11854663849953795,0.09921989869707129,0.07177803400190896,0.4108584969981166,71.20909893389651,11,2464132,3044,ce17dac0c207fa19f604f5897e8ed8027de81106a03272a7b8059e327a188705,5b390d6532854ad704f8fe56280d2ea9b6cfebd95ced1b804d0e0ec3e1ecf82e,DIRECT_COMPUTATIONAL,ten_measurement_repetitions_within_seed
