stage,classifier,configuration_id,phase,metric,unit,seed_count,repetitions_per_seed,mean_within_seed_cv_percent,median_within_seed_cv_percent,max_within_seed_cv_percent,between_seed_mean,between_seed_std,between_seed_cv_percent,variability_level,high_timing_variability,high_variability_threshold_percent,outliers_removed
V0.7-E,decision_tree,pairwise_correlation_filter_natural,training,throughput_records_sec,records/second,5,10,19.355202082944984,19.70130427887987,21.546457960337214,263537.84176764113,67332.15475414069,25.54933071566505,high,True,20.0,False
V0.7-E,decision_tree,pairwise_correlation_filter_natural,training,wall_time_sec,seconds,5,10,19.690592443750184,21.13760092448359,21.84160844629046,0.11586775058025522,0.02904620607819175,25.068412852351905,high,True,20.0,False
V0.7-E,logistic_regression,mutual_information_select_k_best_k11,inference,absolute_peak_rss_mib,MiB,5,10,0.1338078038244488,0.13110114041201829,0.17493229267983149,152.535859375,0.10217603146653788,0.06698492530556006,low,False,20.0,False
V0.7-E,logistic_regression,mutual_information_select_k_best_k11,inference,incremental_peak_rss_mib,MiB,5,10,17.59511896486419,15.188169985127127,24.65033242958173,0.41,0.01629800601300661,3.9751234178064903,high,False,20.0,False
V0.7-E,logistic_regression,mutual_information_select_k_best_k11,inference,per_operation_latency_sec,seconds/operation,5,10,18.124784711625242,16.821562843764887,25.327424477481777,0.002068227311367252,0.0002502588418643618,12.100161355036072,high,True,20.0,False
V0.7-E,logistic_regression,mutual_information_select_k_best_k11,inference,per_record_latency_sec,seconds/record,5,10,18.124784711625242,16.82156284376489,25.327424477481774,3.44704551894542e-07,4.170980697739364e-08,12.100161355036073,high,True,20.0,False
V0.7-E,logistic_regression,mutual_information_select_k_best_k11,inference,process_cpu_time_sec,seconds,5,10,18.43755845149063,17.60892238908766,26.001659735013707,1.11080109412,0.14394657027234836,12.958807029838754,high,True,20.0,False
V0.7-E,logistic_regression,mutual_information_select_k_best_k11,inference,throughput_records_sec,records/second,5,10,16.252714992562385,16.679120386109833,20.384438317916224,3021304.778066951,397454.5817225824,13.155064150028462,high,True,20.0,False
V0.7-E,logistic_regression,mutual_information_select_k_best_k11,inference,wall_time_sec,seconds,5,10,18.124784711625242,16.821562843764887,25.327424477481777,1.058932383420033,0.12813252703455325,12.100161355036072,high,True,20.0,False
V0.7-E,logistic_regression,mutual_information_select_k_best_k11,training,absolute_peak_rss_mib,MiB,5,10,0.13497471361323427,0.13393772615123267,0.17252869180677943,165.191796875,0.43415917173470453,0.262821265915057,low,False,20.0,False
V0.7-E,logistic_regression,mutual_information_select_k_best_k11,training,incremental_peak_rss_mib,MiB,5,10,0.3319963509443904,0.3630628771720298,0.5533171724394592,10.79,0.2254162815769971,2.0891221647543756,low,False,20.0,False
V0.7-E,logistic_regression,mutual_information_select_k_best_k11,training,per_operation_latency_sec,seconds/operation,5,10,28.360535048140623,23.03695196833519,48.3834116679058,0.05278584481991857,0.029488059997319876,55.8635749752984,high,True,20.0,False
V0.7-E,logistic_regression,mutual_information_select_k_best_k11,training,per_record_latency_sec,seconds/record,5,10,28.360535048140626,23.036951968335195,48.38341166790581,1.8852087435685203e-06,1.0531449999042811e-06,55.86357497529839,high,True,20.0,False
V0.7-E,logistic_regression,mutual_information_select_k_best_k11,training,process_cpu_time_sec,seconds,5,10,29.408823966316294,23.55211701363717,49.32809039363301,0.056306860940000036,0.03213970335917404,57.07955091551233,high,True,20.0,False
V0.7-E,logistic_regression,mutual_information_select_k_best_k11,training,throughput_records_sec,records/second,5,10,25.589856482541187,26.204916209196227,40.03107626004428,682250.4783891549,257868.7665297535,37.796787939028086,high,True,20.0,False
V0.7-E,logistic_regression,mutual_information_select_k_best_k11,training,wall_time_sec,seconds,5,10,28.360535048140623,23.03695196833519,48.3834116679058,0.05278584481991857,0.029488059997319876,55.8635749752984,high,True,20.0,False
V0.7-E,logistic_regression,none_natural,inference,absolute_peak_rss_mib,MiB,5,10,0.14654020469186155,0.13227794381615687,0.21053736428185807,154.12453125000002,0.08652956559844771,0.05614263018136362,low,False,20.0,False
V0.7-E,logistic_regression,none_natural,inference,incremental_peak_rss_mib,MiB,5,10,18.440299567792543,14.63775428908024,24.94765461662317,0.4125,0.008838834764831832,2.142747821777414,high,False,20.0,False
V0.7-E,logistic_regression,none_natural,inference,per_operation_latency_sec,seconds/operation,5,10,15.409389875335497,17.102154904777077,19.01539405061146,0.0023289981429293503,0.0002623000141610604,11.262353942075135,moderate,False,20.0,False
V0.7-E,logistic_regression,none_natural,inference,per_record_latency_sec,seconds/record,5,10,15.409389875335497,17.102154904777077,19.015394050611462,3.8816635715489176e-07,4.3716669026843405e-08,11.262353942075135,moderate,False,20.0,False
V0.7-E,logistic_regression,none_natural,inference,process_cpu_time_sec,seconds,5,10,15.194271206530198,17.447337183005377,18.127955668009232,1.25513537726,0.1436635547985,11.446060512780864,moderate,False,20.0,False
V0.7-E,logistic_regression,none_natural,inference,throughput_records_sec,records/second,5,10,14.744437384838708,15.102392420124854,19.901807156410353,2657222.118457039,286927.154378758,10.798011667363626,moderate,False,20.0,False
V0.7-E,logistic_regression,none_natural,inference,wall_time_sec,seconds,5,10,15.409389875335497,17.102154904777077,19.01539405061146,1.1924470491798274,0.1342976072504629,11.262353942075135,moderate,False,20.0,False
V0.7-E,logistic_regression,none_natural,training,absolute_peak_rss_mib,MiB,5,10,0.11768107010953348,0.11326593042636014,0.15567810525542497,183.117578125,0.2663811903994631,0.14547002703237238,low,False,20.0,False
V0.7-E,logistic_regression,none_natural,training,incremental_peak_rss_mib,MiB,5,10,0.2153734099355539,0.18059838150590402,0.29441150484282913,21.8975,0.016298006013007193,0.07442861519811482,low,False,20.0,False
V0.7-E,logistic_regression,none_natural,training,per_operation_latency_sec,seconds/operation,5,10,29.444754748864625,19.632344611433734,54.630109572712286,0.2999471600998004,0.16276477958414,54.26448429449503,high,True,20.0,False
V0.7-E,logistic_regression,none_natural,training,per_record_latency_sec,seconds/record,5,10,29.444754748864618,19.632344611433734,54.63010957271227,1.0712398574992872e-05,5.813027842290716e-06,54.264484294495034,high,True,20.0,False
V0.7-E,logistic_regression,none_natural,training,process_cpu_time_sec,seconds,5,10,30.74751284978621,21.129994056048318,56.58190539181108,0.32078121122000003,0.17897271753137547,55.792768177008774,high,True,20.0,False
V0.7-E,logistic_regression,none_natural,training,throughput_records_sec,records/second,5,10,22.10426165954201,17.288378292232537,42.937238903296546,120239.94043232244,48877.434387233836,40.64991566986404,high,True,20.0,False
V0.7-E,logistic_regression,none_natural,training,wall_time_sec,seconds,5,10,29.444754748864625,19.632344611433734,54.630109572712286,0.2999471600998004,0.16276477958414,54.26448429449503,high,True,20.0,False
V0.7-E,logistic_regression,pairwise_correlation_filter_natural,inference,absolute_peak_rss_mib,MiB,5,10,0.17663271635200334,0.17375379110026112,0.22706015847394231,154.06773437500001,0.10397289920710931,0.06748518736183907,low,False,20.0,False
V0.7-E,logistic_regression,pairwise_correlation_filter_natural,inference,incremental_peak_rss_mib,MiB,5,10,18.648752777941166,18.31116813540473,25.443613357676618,0.39,0.018540496217739157,4.753973389163886,high,False,20.0,False
V0.7-E,logistic_regression,pairwise_correlation_filter_natural,inference,per_operation_latency_sec,seconds/operation,5,10,15.242076383533576,13.412476339820529,27.287621365363112,0.0025417823963279317,0.00023481294881842117,9.238121609373458,high,True,20.0,False
V0.7-E,logistic_regression,pairwise_correlation_filter_natural,inference,per_record_latency_sec,seconds/record,5,10,15.242076383533576,13.412476339820527,27.287621365363115,4.236303993879887e-07,3.9135491469736865e-08,9.238121609373458,high,True,20.0,False
V0.7-E,logistic_regression,pairwise_correlation_filter_natural,inference,process_cpu_time_sec,seconds,5,10,14.930884795231824,13.0250603530616,26.500686881308273,1.37409080668,0.1257900208882572,9.15441834533366,high,True,20.0,False
V0.7-E,logistic_regression,pairwise_correlation_filter_natural,inference,throughput_records_sec,records/second,5,10,14.209566150549517,13.866263941840277,21.504893762417016,2430383.86786683,240259.68655955885,9.885668257436096,high,True,20.0,False
V0.7-E,logistic_regression,pairwise_correlation_filter_natural,inference,wall_time_sec,seconds,5,10,15.242076383533576,13.412476339820529,27.287621365363112,1.301392586919901,0.12022422979503164,9.238121609373458,high,True,20.0,False
V0.7-E,logistic_regression,pairwise_correlation_filter_natural,training,absolute_peak_rss_mib,MiB,5,10,0.1206887144818521,0.1283796434427025,0.14705605155976934,182.19539062500002,0.23632802815080642,0.1297113101160851,low,False,20.0,False
V0.7-E,logistic_regression,pairwise_correlation_filter_natural,training,incremental_peak_rss_mib,MiB,5,10,0.26079516663391605,0.2836440936815313,0.30305034007882764,21.2825,0.014252192813740128,0.06696672295895749,low,False,20.0,False
V0.7-E,logistic_regression,pairwise_correlation_filter_natural,training,per_operation_latency_sec,seconds/operation,5,10,42.575915270800735,42.68627203950177,58.2699035562561,0.35678575735997586,0.16643957982563892,46.64972645130315,high,True,20.0,False
V0.7-E,logistic_regression,pairwise_correlation_filter_natural,training,per_record_latency_sec,seconds/record,5,10,42.575915270800735,42.68627203950178,58.26990355625609,1.2742348477141994e-05,5.9442707080585326e-06,46.64972645130315,high,True,20.0,False
V0.7-E,logistic_regression,pairwise_correlation_filter_natural,training,process_cpu_time_sec,seconds,5,10,43.73482880533736,44.267505161971364,60.20684997008994,0.38378111538000004,0.1845906796867348,48.09790588678725,high,True,20.0,False
V0.7-E,logistic_regression,pairwise_correlation_filter_natural,training,throughput_records_sec,records/second,5,10,30.550319719411146,27.084393181466286,44.015609379283894,101177.43945133203,34794.06904057539,34.389157532803445,high,True,20.0,False
V0.7-E,logistic_regression,pairwise_correlation_filter_natural,training,wall_time_sec,seconds,5,10,42.575915270800735,42.68627203950177,58.2699035562561,0.35678575735997586,0.16643957982563892,46.64972645130315,high,True,20.0,False
