calibration_id,environment_id,classifier,configuration_id,seed,phase,candidate_order,inner_operation_count,wall_time_sec,target_duration_sec,target_reached,selected_for_anchor,frozen_for_main_matrix,worker_pid,warmup_calls,measurement_kind,measurement_scope,time_unit,workload_sha256,model_sha256,excluded_from_main_observations
v07d_calibration__logistic_regression__none_natural__s42__n8,5b390d6532854ad704f8fe56280d2ea9b6cfebd95ced1b804d0e0ec3e1ecf82e,logistic_regression,none_natural,42,inference,4,8,0.02114121299928229,1.0,False,False,False,7017,3,DIRECT_COMPUTATIONAL,prediction_only_calibration,seconds,8218a521bbf219f46806866ed0abbbf6dfbdab3a330e52df2b62a5aaba3ccdd8,e3bc8ae3d91d93478dc6b6f44514bb0ba1be16ac298127ee0468d5e2725e0a49,True
v07d_calibration__logistic_regression__none_natural__s42__n16,5b390d6532854ad704f8fe56280d2ea9b6cfebd95ced1b804d0e0ec3e1ecf82e,logistic_regression,none_natural,42,inference,5,16,0.06243052500030899,1.0,False,False,False,7020,3,DIRECT_COMPUTATIONAL,prediction_only_calibration,seconds,8218a521bbf219f46806866ed0abbbf6dfbdab3a330e52df2b62a5aaba3ccdd8,e3bc8ae3d91d93478dc6b6f44514bb0ba1be16ac298127ee0468d5e2725e0a49,True
v07d_calibration__logistic_regression__none_natural__s42__n32,5b390d6532854ad704f8fe56280d2ea9b6cfebd95ced1b804d0e0ec3e1ecf82e,logistic_regression,none_natural,42,inference,6,32,0.07506743399972038,1.0,False,False,False,7023,3,DIRECT_COMPUTATIONAL,prediction_only_calibration,seconds,8218a521bbf219f46806866ed0abbbf6dfbdab3a330e52df2b62a5aaba3ccdd8,e3bc8ae3d91d93478dc6b6f44514bb0ba1be16ac298127ee0468d5e2725e0a49,True
v07d_calibration__logistic_regression__none_natural__s42__n64,5b390d6532854ad704f8fe56280d2ea9b6cfebd95ced1b804d0e0ec3e1ecf82e,logistic_regression,none_natural,42,inference,7,64,0.23846801100080484,1.0,False,False,False,7026,3,DIRECT_COMPUTATIONAL,prediction_only_calibration,seconds,8218a521bbf219f46806866ed0abbbf6dfbdab3a330e52df2b62a5aaba3ccdd8,e3bc8ae3d91d93478dc6b6f44514bb0ba1be16ac298127ee0468d5e2725e0a49,True
v07d_calibration__logistic_regression__none_natural__s42__n128,5b390d6532854ad704f8fe56280d2ea9b6cfebd95ced1b804d0e0ec3e1ecf82e,logistic_regression,none_natural,42,inference,8,128,0.4068394519999856,1.0,False,False,False,7029,3,DIRECT_COMPUTATIONAL,prediction_only_calibration,seconds,8218a521bbf219f46806866ed0abbbf6dfbdab3a330e52df2b62a5aaba3ccdd8,e3bc8ae3d91d93478dc6b6f44514bb0ba1be16ac298127ee0468d5e2725e0a49,True
v07d_calibration__logistic_regression__none_natural__s42__n256,5b390d6532854ad704f8fe56280d2ea9b6cfebd95ced1b804d0e0ec3e1ecf82e,logistic_regression,none_natural,42,inference,9,256,0.7280647640000097,1.0,False,False,False,7032,3,DIRECT_COMPUTATIONAL,prediction_only_calibration,seconds,8218a521bbf219f46806866ed0abbbf6dfbdab3a330e52df2b62a5aaba3ccdd8,e3bc8ae3d91d93478dc6b6f44514bb0ba1be16ac298127ee0468d5e2725e0a49,True
v07d_calibration__logistic_regression__none_natural__s42__n512,5b390d6532854ad704f8fe56280d2ea9b6cfebd95ced1b804d0e0ec3e1ecf82e,logistic_regression,none_natural,42,inference,10,512,1.7032693809997,1.0,True,True,True,7035,3,DIRECT_COMPUTATIONAL,prediction_only_calibration,seconds,8218a521bbf219f46806866ed0abbbf6dfbdab3a330e52df2b62a5aaba3ccdd8,e3bc8ae3d91d93478dc6b6f44514bb0ba1be16ac298127ee0468d5e2725e0a49,True
v07d_calibration__logistic_regression__pairwise_correlation_filter_natural__s42__n1,5b390d6532854ad704f8fe56280d2ea9b6cfebd95ced1b804d0e0ec3e1ecf82e,logistic_regression,pairwise_correlation_filter_natural,42,inference,1,1,0.008690066000781371,1.0,False,False,False,7038,3,DIRECT_COMPUTATIONAL,prediction_only_calibration,seconds,8218a521bbf219f46806866ed0abbbf6dfbdab3a330e52df2b62a5aaba3ccdd8,b1947017d2e621704fa923a4142a9462c816421c713d708ad8305ad6d7d20d4b,True
v07d_calibration__logistic_regression__pairwise_correlation_filter_natural__s42__n2,5b390d6532854ad704f8fe56280d2ea9b6cfebd95ced1b804d0e0ec3e1ecf82e,logistic_regression,pairwise_correlation_filter_natural,42,inference,2,2,0.004777451000336441,1.0,False,False,False,7041,3,DIRECT_COMPUTATIONAL,prediction_only_calibration,seconds,8218a521bbf219f46806866ed0abbbf6dfbdab3a330e52df2b62a5aaba3ccdd8,b1947017d2e621704fa923a4142a9462c816421c713d708ad8305ad6d7d20d4b,True
v07d_calibration__logistic_regression__pairwise_correlation_filter_natural__s42__n4,5b390d6532854ad704f8fe56280d2ea9b6cfebd95ced1b804d0e0ec3e1ecf82e,logistic_regression,pairwise_correlation_filter_natural,42,inference,3,4,0.011643527999694925,1.0,False,False,False,7044,3,DIRECT_COMPUTATIONAL,prediction_only_calibration,seconds,8218a521bbf219f46806866ed0abbbf6dfbdab3a330e52df2b62a5aaba3ccdd8,b1947017d2e621704fa923a4142a9462c816421c713d708ad8305ad6d7d20d4b,True
v07d_calibration__logistic_regression__pairwise_correlation_filter_natural__s42__n8,5b390d6532854ad704f8fe56280d2ea9b6cfebd95ced1b804d0e0ec3e1ecf82e,logistic_regression,pairwise_correlation_filter_natural,42,inference,4,8,0.05471118000059505,1.0,False,False,False,7047,3,DIRECT_COMPUTATIONAL,prediction_only_calibration,seconds,8218a521bbf219f46806866ed0abbbf6dfbdab3a330e52df2b62a5aaba3ccdd8,b1947017d2e621704fa923a4142a9462c816421c713d708ad8305ad6d7d20d4b,True
v07d_calibration__logistic_regression__pairwise_correlation_filter_natural__s42__n16,5b390d6532854ad704f8fe56280d2ea9b6cfebd95ced1b804d0e0ec3e1ecf82e,logistic_regression,pairwise_correlation_filter_natural,42,inference,5,16,0.09885950999887427,1.0,False,False,False,7051,3,DIRECT_COMPUTATIONAL,prediction_only_calibration,seconds,8218a521bbf219f46806866ed0abbbf6dfbdab3a330e52df2b62a5aaba3ccdd8,b1947017d2e621704fa923a4142a9462c816421c713d708ad8305ad6d7d20d4b,True
v07d_calibration__logistic_regression__pairwise_correlation_filter_natural__s42__n32,5b390d6532854ad704f8fe56280d2ea9b6cfebd95ced1b804d0e0ec3e1ecf82e,logistic_regression,pairwise_correlation_filter_natural,42,inference,6,32,0.07964070600064588,1.0,False,False,False,7054,3,DIRECT_COMPUTATIONAL,prediction_only_calibration,seconds,8218a521bbf219f46806866ed0abbbf6dfbdab3a330e52df2b62a5aaba3ccdd8,b1947017d2e621704fa923a4142a9462c816421c713d708ad8305ad6d7d20d4b,True
v07d_calibration__logistic_regression__pairwise_correlation_filter_natural__s42__n64,5b390d6532854ad704f8fe56280d2ea9b6cfebd95ced1b804d0e0ec3e1ecf82e,logistic_regression,pairwise_correlation_filter_natural,42,inference,7,64,0.18745510300141177,1.0,False,False,False,7057,3,DIRECT_COMPUTATIONAL,prediction_only_calibration,seconds,8218a521bbf219f46806866ed0abbbf6dfbdab3a330e52df2b62a5aaba3ccdd8,b1947017d2e621704fa923a4142a9462c816421c713d708ad8305ad6d7d20d4b,True
v07d_calibration__logistic_regression__pairwise_correlation_filter_natural__s42__n128,5b390d6532854ad704f8fe56280d2ea9b6cfebd95ced1b804d0e0ec3e1ecf82e,logistic_regression,pairwise_correlation_filter_natural,42,inference,8,128,0.7661099799988733,1.0,False,False,False,7060,3,DIRECT_COMPUTATIONAL,prediction_only_calibration,seconds,8218a521bbf219f46806866ed0abbbf6dfbdab3a330e52df2b62a5aaba3ccdd8,b1947017d2e621704fa923a4142a9462c816421c713d708ad8305ad6d7d20d4b,True
v07d_calibration__logistic_regression__pairwise_correlation_filter_natural__s42__n256,5b390d6532854ad704f8fe56280d2ea9b6cfebd95ced1b804d0e0ec3e1ecf82e,logistic_regression,pairwise_correlation_filter_natural,42,inference,9,256,2.8414340680010355,1.0,True,True,False,7063,3,DIRECT_COMPUTATIONAL,prediction_only_calibration,seconds,8218a521bbf219f46806866ed0abbbf6dfbdab3a330e52df2b62a5aaba3ccdd8,b1947017d2e621704fa923a4142a9462c816421c713d708ad8305ad6d7d20d4b,True
v07d_calibration__logistic_regression__mutual_information_select_k_best_k11__s42__n1,5b390d6532854ad704f8fe56280d2ea9b6cfebd95ced1b804d0e0ec3e1ecf82e,logistic_regression,mutual_information_select_k_best_k11,42,inference,1,1,0.0025123840005107922,1.0,False,False,False,7066,3,DIRECT_COMPUTATIONAL,prediction_only_calibration,seconds,8218a521bbf219f46806866ed0abbbf6dfbdab3a330e52df2b62a5aaba3ccdd8,b9befdf6e003af6109228ddf44bf6e836ac966bcb3db26cabf0c22cc8127fbe9,True
v07d_calibration__logistic_regression__mutual_information_select_k_best_k11__s42__n2,5b390d6532854ad704f8fe56280d2ea9b6cfebd95ced1b804d0e0ec3e1ecf82e,logistic_regression,mutual_information_select_k_best_k11,42,inference,2,2,0.012429446000169264,1.0,False,False,False,7069,3,DIRECT_COMPUTATIONAL,prediction_only_calibration,seconds,8218a521bbf219f46806866ed0abbbf6dfbdab3a330e52df2b62a5aaba3ccdd8,b9befdf6e003af6109228ddf44bf6e836ac966bcb3db26cabf0c22cc8127fbe9,True
v07d_calibration__logistic_regression__mutual_information_select_k_best_k11__s42__n4,5b390d6532854ad704f8fe56280d2ea9b6cfebd95ced1b804d0e0ec3e1ecf82e,logistic_regression,mutual_information_select_k_best_k11,42,inference,3,4,0.01867502200002491,1.0,False,False,False,7072,3,DIRECT_COMPUTATIONAL,prediction_only_calibration,seconds,8218a521bbf219f46806866ed0abbbf6dfbdab3a330e52df2b62a5aaba3ccdd8,b9befdf6e003af6109228ddf44bf6e836ac966bcb3db26cabf0c22cc8127fbe9,True
v07d_calibration__logistic_regression__mutual_information_select_k_best_k11__s42__n8,5b390d6532854ad704f8fe56280d2ea9b6cfebd95ced1b804d0e0ec3e1ecf82e,logistic_regression,mutual_information_select_k_best_k11,42,inference,4,8,0.02442857899950468,1.0,False,False,False,7075,3,DIRECT_COMPUTATIONAL,prediction_only_calibration,seconds,8218a521bbf219f46806866ed0abbbf6dfbdab3a330e52df2b62a5aaba3ccdd8,b9befdf6e003af6109228ddf44bf6e836ac966bcb3db26cabf0c22cc8127fbe9,True
v07d_calibration__logistic_regression__mutual_information_select_k_best_k11__s42__n16,5b390d6532854ad704f8fe56280d2ea9b6cfebd95ced1b804d0e0ec3e1ecf82e,logistic_regression,mutual_information_select_k_best_k11,42,inference,5,16,0.038311181000608485,1.0,False,False,False,7098,3,DIRECT_COMPUTATIONAL,prediction_only_calibration,seconds,8218a521bbf219f46806866ed0abbbf6dfbdab3a330e52df2b62a5aaba3ccdd8,b9befdf6e003af6109228ddf44bf6e836ac966bcb3db26cabf0c22cc8127fbe9,True
