stage,comparison_tier,classifier,phase,metric,unit,candidate_configuration_id,reference_configuration_id,candidate_mean,reference_mean,mean_difference,std_difference,mean_percent_change,ci95_low,ci95_high,n,df,t_critical,aggregation_hierarchy
V1.0-F,primary,decision_tree,inference,absolute_peak_rss_mib,MiB,HYBRID-K13,BPSO-K10,155.801328125,155.59890625,0.20242187500000455,0.07689927128916088,0.13010206255633905,0.10693882196994328,0.29790492803006585,5,4,2.7764451051977987,ten_repetitions_aggregated_within_seed_before_five_seed_scientific_pairing
V1.0-F,primary,decision_tree,inference,incremental_peak_rss_mib,MiB,HYBRID-K13,BPSO-K10,0.39249999999999996,0.41500000000000004,-0.02250000000000001,0.036869703009381555,-5.220901410417542,-0.06827978111664632,0.023279781116646293,5,4,2.7764451051977987,ten_repetitions_aggregated_within_seed_before_five_seed_scientific_pairing
V1.0-F,primary,decision_tree,inference,inference_latency_sec,seconds,HYBRID-K13,BPSO-K10,0.00417321209429673,0.0038194282648419176,0.0003537838294548123,0.001964744370476181,19.289958016083034,-0.0020857684286058453,0.00279333608751547,5,4,2.7764451051977987,ten_repetitions_aggregated_within_seed_before_five_seed_scientific_pairing
V1.0-F,primary,decision_tree,inference,per_record_latency_sec,seconds,HYBRID-K13,BPSO-K10,6.955353490494549e-07,6.365713774736529e-07,5.896397157580204e-08,3.274573950793635e-07,19.28995801608303,-3.4762807143430755e-07,4.6555601458591163e-07,5,4,2.7764451051977987,ten_repetitions_aggregated_within_seed_before_five_seed_scientific_pairing
V1.0-F,primary,decision_tree,inference,process_cpu_time_sec,seconds,HYBRID-K13,BPSO-K10,2.1849143515200002,1.99100414832,0.19391020320000002,1.0301261691613395,19.739970607334946,-1.0851603261920002,1.4729807325920001,5,4,2.7764451051977987,ten_repetitions_aggregated_within_seed_before_five_seed_scientific_pairing
V1.0-F,primary,decision_tree,inference,throughput_records_sec,records/second,HYBRID-K13,BPSO-K10,1760296.3049618949,1992793.0559303984,-232496.75096850377,653873.8815072362,-6.81452409772168,-1044388.3782397185,579394.876302711,5,4,2.7764451051977987,ten_repetitions_aggregated_within_seed_before_five_seed_scientific_pairing
V1.0-F,primary,decision_tree,inference,wall_time_sec,seconds,HYBRID-K13,BPSO-K10,2.136684592279926,1.9555472715990618,0.1811373206808639,1.0059491176838047,19.289958016083034,-1.0679134354461928,1.4301880768079207,5,4,2.7764451051977987,ten_repetitions_aggregated_within_seed_before_five_seed_scientific_pairing
V1.0-F,primary,logistic_regression,training,absolute_peak_rss_mib,MiB,HYBRID-K13,BPSO-K10,166.676640625,165.240625,1.4360156250000045,0.07856147603995597,0.8690591456574026,1.3384686722514376,1.5335625777485713,5,4,2.7764451051977987,ten_repetitions_aggregated_within_seed_before_five_seed_scientific_pairing
V1.0-F,primary,logistic_regression,training,incremental_peak_rss_mib,MiB,HYBRID-K13,BPSO-K10,9.0175,6.0200000000000005,2.9974999999999996,0.02709935423584864,49.79339360489008,2.963851708745689,3.0311482912543104,5,4,2.7764451051977987,ten_repetitions_aggregated_within_seed_before_five_seed_scientific_pairing
V1.0-F,primary,logistic_regression,training,inference_latency_sec,seconds,HYBRID-K13,BPSO-K10,0.056675407739821826,0.050697755460278125,0.0059776522795436885,0.01042746607761881,14.420467844018777,-0.006969756450957251,0.01892506101004463,5,4,2.7764451051977987,ten_repetitions_aggregated_within_seed_before_five_seed_scientific_pairing
V1.0-F,primary,logistic_regression,training,per_record_latency_sec,seconds,HYBRID-K13,BPSO-K10,2.0241217049936363e-06,1.8106341235813618e-06,2.1348758141227476e-07,3.7240950277210047e-07,14.420467844018788,-2.489198732484732e-07,6.758950360730227e-07,5,4,2.7764451051977987,ten_repetitions_aggregated_within_seed_before_five_seed_scientific_pairing
V1.0-F,primary,logistic_regression,training,process_cpu_time_sec,seconds,HYBRID-K13,BPSO-K10,0.058288797260000025,0.05186491738000003,0.006423879879999986,0.010856818755489389,15.049178741770437,-0.007056640592945953,0.019904400352945925,5,4,2.7764451051977987,ten_repetitions_aggregated_within_seed_before_five_seed_scientific_pairing
V1.0-F,primary,logistic_regression,training,throughput_records_sec,records/second,HYBRID-K13,BPSO-K10,511223.0694669594,583196.0784094584,-71973.00894249903,120907.6360185376,-10.13844118882454,-222099.66200643528,78153.64412143722,5,4,2.7764451051977987,ten_repetitions_aggregated_within_seed_before_five_seed_scientific_pairing
V1.0-F,primary,logistic_regression,training,wall_time_sec,seconds,HYBRID-K13,BPSO-K10,0.056675407739821826,0.050697755460278125,0.0059776522795436885,0.01042746607761881,14.420467844018777,-0.006969756450957251,0.01892506101004463,5,4,2.7764451051977987,ten_repetitions_aggregated_within_seed_before_five_seed_scientific_pairing
V1.0-F,primary,logistic_regression,inference,absolute_peak_rss_mib,MiB,HYBRID-K13,BPSO-K10,155.497890625,155.458125,0.03976562500000114,0.160596622082822,0.025680791162318604,-0.15964141131796455,0.23917266131796683,5,4,2.7764451051977987,ten_repetitions_aggregated_within_seed_before_five_seed_scientific_pairing
