scenario_id,attack_type,attack_rate,attack_severity,classifier,comparison_type,configuration_id,reference_configuration_id,metric,paired_seed_count,mean_difference,std_difference,ci95_low,ci95_high,baseline_mean,configuration_mean,margin_percent,relative_degradation_percent,descriptively_preserved,rate_scenario,selection_performed,scenario_configuration_preserved
timestamp_manipulation__r0p05__medium,timestamp_manipulation,0.05,MEDIUM,logistic_regression,reduced_minus_full_baseline,pairwise_correlation_filter_natural,none_natural,recall,5,0.0,0.0,0.0,0.0,0.44733333333333336,0.44733333333333336,10.0,0.0,True,False,False,True
timestamp_manipulation__r0p05__medium,timestamp_manipulation,0.05,MEDIUM,logistic_regression,reduced_minus_full_baseline,mutual_information_select_k_best_k11,none_natural,average_precision,5,-0.003389405282966225,0.001768225702431984,-0.005584947478376326,-0.0011938630875561237,0.052908373276762524,0.0495189679937963,5.0,6.406179349412844,False,False,False,False
timestamp_manipulation__r0p05__medium,timestamp_manipulation,0.05,MEDIUM,logistic_regression,reduced_minus_full_baseline,mutual_information_select_k_best_k11,none_natural,f1,5,-0.002317124521202668,0.004148089555737593,-0.007467657983891177,0.0028334089414858406,0.0928582072187132,0.09054108269751053,5.0,2.4953362665564267,True,False,False,False
timestamp_manipulation__r0p05__medium,timestamp_manipulation,0.05,MEDIUM,logistic_regression,reduced_minus_full_baseline,mutual_information_select_k_best_k11,none_natural,recall,5,0.05199999999999998,0.039200340134578765,0.003326348937512741,0.10067365106248721,0.44733333333333336,0.4993333333333333,10.0,0.0,True,False,False,False
geographic_route_manipulation__r0p05__medium,geographic_route_manipulation,0.05,MEDIUM,decision_tree,reduced_minus_full_baseline,pairwise_correlation_filter_natural,none_natural,average_precision,5,0.0,0.0,0.0,0.0,0.04983721662591921,0.04983721662591921,5.0,0.0,True,False,False,True
geographic_route_manipulation__r0p05__medium,geographic_route_manipulation,0.05,MEDIUM,decision_tree,reduced_minus_full_baseline,pairwise_correlation_filter_natural,none_natural,f1,5,0.0,0.0,0.0,0.0,0.04995313683609929,0.04995313683609929,5.0,0.0,True,False,False,True
geographic_route_manipulation__r0p05__medium,geographic_route_manipulation,0.05,MEDIUM,decision_tree,reduced_minus_full_baseline,pairwise_correlation_filter_natural,none_natural,recall,5,0.0,0.0,0.0,0.0,0.14933333333333332,0.14933333333333332,10.0,0.0,True,False,False,True
geographic_route_manipulation__r0p05__medium,geographic_route_manipulation,0.05,MEDIUM,decision_tree,reduced_minus_full_baseline,mutual_information_select_k_best_k11,none_natural,average_precision,5,-0.0001796981463113731,0.0005789017902844936,-0.0008984996578039056,0.0005391033651811594,0.04983721662591921,0.04965751847960783,5.0,0.36057018926278017,True,False,False,False
geographic_route_manipulation__r0p05__medium,geographic_route_manipulation,0.05,MEDIUM,decision_tree,reduced_minus_full_baseline,mutual_information_select_k_best_k11,none_natural,f1,5,-0.0042273660445444755,0.02534590064024255,-0.0356984583716084,0.027243726282519448,0.04995313683609929,0.04572577079155481,5.0,8.462663833133941,False,False,False,False
geographic_route_manipulation__r0p05__medium,geographic_route_manipulation,0.05,MEDIUM,decision_tree,reduced_minus_full_baseline,mutual_information_select_k_best_k11,none_natural,recall,5,-0.007333333333333333,0.021653842358548954,-0.03422012981274462,0.019553463146077952,0.14933333333333332,0.142,10.0,4.910714285714285,True,False,False,False
geographic_route_manipulation__r0p05__medium,geographic_route_manipulation,0.05,MEDIUM,logistic_regression,reduced_minus_full_baseline,pairwise_correlation_filter_natural,none_natural,average_precision,5,-7.779598945240052e-07,2.6529321757132547e-06,-4.072010266786154e-06,2.5160904777381435e-06,0.052726927835686666,0.05272614987579214,5.0,0.0014754508302659989,True,False,False,True
geographic_route_manipulation__r0p05__medium,geographic_route_manipulation,0.05,MEDIUM,logistic_regression,reduced_minus_full_baseline,pairwise_correlation_filter_natural,none_natural,f1,5,0.0,0.0,0.0,0.0,0.08982694328656964,0.08982694328656964,5.0,0.0,True,False,False,True
geographic_route_manipulation__r0p05__medium,geographic_route_manipulation,0.05,MEDIUM,logistic_regression,reduced_minus_full_baseline,pairwise_correlation_filter_natural,none_natural,recall,5,0.0,0.0,0.0,0.0,0.43133333333333335,0.43133333333333335,10.0,0.0,True,False,False,True
geographic_route_manipulation__r0p05__medium,geographic_route_manipulation,0.05,MEDIUM,logistic_regression,reduced_minus_full_baseline,mutual_information_select_k_best_k11,none_natural,average_precision,5,-0.003287367480380295,0.001332657950131047,-0.004942080878979358,-0.0016326540817812314,0.052726927835686666,0.049439560355306375,5.0,6.234703244279165,False,False,False,False
geographic_route_manipulation__r0p05__medium,geographic_route_manipulation,0.05,MEDIUM,logistic_regression,reduced_minus_full_baseline,mutual_information_select_k_best_k11,none_natural,f1,5,-0.001052257197569889,0.0034619250538470685,-0.005350804901414838,0.00324629050627506,0.08982694328656964,0.08877468608899974,5.0,1.1714271454311178,True,False,False,False
geographic_route_manipulation__r0p05__medium,geographic_route_manipulation,0.05,MEDIUM,logistic_regression,reduced_minus_full_baseline,mutual_information_select_k_best_k11,none_natural,recall,5,0.05799999999999998,0.026520432374554783,0.025070533903691572,0.09092946609630839,0.43133333333333335,0.4893333333333333,10.0,0.0,True,False,False,False
transaction_record_tampering__r0p05__medium,transaction_record_tampering,0.05,MEDIUM,decision_tree,reduced_minus_full_baseline,pairwise_correlation_filter_natural,none_natural,average_precision,5,0.0,0.0,0.0,0.0,0.4711506614910322,0.4711506614910322,5.0,0.0,True,False,False,True
transaction_record_tampering__r0p05__medium,transaction_record_tampering,0.05,MEDIUM,decision_tree,reduced_minus_full_baseline,pairwise_correlation_filter_natural,none_natural,f1,5,0.0,0.0,0.0,0.0,0.35500787445036647,0.35500787445036647,5.0,0.0,True,False,False,True
transaction_record_tampering__r0p05__medium,transaction_record_tampering,0.05,MEDIUM,decision_tree,reduced_minus_full_baseline,pairwise_correlation_filter_natural,none_natural,recall,5,0.0,0.0,0.0,0.0,0.5633333333333334,0.5633333333333334,10.0,0.0,True,False,False,True
transaction_record_tampering__r0p05__medium,transaction_record_tampering,0.05,MEDIUM,decision_tree,reduced_minus_full_baseline,mutual_information_select_k_best_k11,none_natural,average_precision,5,0.0052143651120909905,0.009714052651207313,-0.006847224341578543,0.017275954565760525,0.4711506614910322,0.4763650266031231,5.0,0.0,True,False,False,True
transaction_record_tampering__r0p05__medium,transaction_record_tampering,0.05,MEDIUM,decision_tree,reduced_minus_full_baseline,mutual_information_select_k_best_k11,none_natural,f1,5,0.013982656451792608,0.10198429769191027,-0.11264757437444822,0.14061288727803345,0.35500787445036647,0.36899053090215905,5.0,0.0,True,False,False,True
transaction_record_tampering__r0p05__medium,transaction_record_tampering,0.05,MEDIUM,decision_tree,reduced_minus_full_baseline,mutual_information_select_k_best_k11,none_natural,recall,5,-0.009999999999999998,0.02121320343559643,-0.03633967099257342,0.016339670992573423,0.5633333333333334,0.5533333333333333,10.0,1.7751479289940844,True,False,False,True
transaction_record_tampering__r0p05__medium,transaction_record_tampering,0.05,MEDIUM,logistic_regression,reduced_minus_full_baseline,pairwise_correlation_filter_natural,none_natural,average_precision,5,1.2594830369749844e-07,1.6427945938202635e-06,-1.91385059989452e-06,2.165747207289517e-06,0.05642133969010308,0.056421465638406776,5.0,0.0,True,False,False,True
transaction_record_tampering__r0p05__medium,transaction_record_tampering,0.05,MEDIUM,logistic_regression,reduced_minus_full_baseline,pairwise_correlation_filter_natural,none_natural,f1,5,0.0,0.0,0.0,0.0,0.09275415946463869,0.09275415946463869,5.0,0.0,True,False,False,True
transaction_record_tampering__r0p05__medium,transaction_record_tampering,0.05,MEDIUM,logistic_regression,reduced_minus_full_baseline,pairwise_correlation_filter_natural,none_natural,recall,5,0.0,0.0,0.0,0.0,0.44333333333333336,0.44333333333333336,10.0,0.0,True,False,False,True
transaction_record_tampering__r0p05__medium,transaction_record_tampering,0.05,MEDIUM,logistic_regression,reduced_minus_full_baseline,mutual_information_select_k_best_k11,none_natural,average_precision,5,-0.0011966119874834008,0.00855584000145927,-0.011820090491695462,0.00942686651672866,0.05642133969010308,0.05522472770261968,5.0,2.120850008269654,True,False,False,True
transaction_record_tampering__r0p05__medium,transaction_record_tampering,0.05,MEDIUM,logistic_regression,reduced_minus_full_baseline,mutual_information_select_k_best_k11,none_natural,f1,5,-0.002938145891918295,0.009064813917716796,-0.014193598983972603,0.008317307200136015,0.09275415946463869,0.08981601357272039,5.0,3.167670225116358,True,False,False,True
transaction_record_tampering__r0p05__medium,transaction_record_tampering,0.05,MEDIUM,logistic_regression,reduced_minus_full_baseline,mutual_information_select_k_best_k11,none_natural,recall,5,0.052666666666666674,0.036163210280308056,0.007764110402100219,0.09756922293123313,0.44333333333333336,0.496,10.0,0.0,True,False,False,True
mixed__r0p01__medium,mixed,0.01,MEDIUM,decision_tree,reduced_minus_full_baseline,pairwise_correlation_filter_natural,none_natural,average_precision,5,0.0,0.0,0.0,0.0,0.17556065494328216,0.17556065494328216,5.0,0.0,True,True,False,True
mixed__r0p01__medium,mixed,0.01,MEDIUM,decision_tree,reduced_minus_full_baseline,pairwise_correlation_filter_natural,none_natural,f1,5,0.0,0.0,0.0,0.0,0.07495918966425398,0.07495918966425398,5.0,0.0,True,True,False,True
mixed__r0p01__medium,mixed,0.01,MEDIUM,decision_tree,reduced_minus_full_baseline,pairwise_correlation_filter_natural,none_natural,recall,5,0.0,0.0,0.0,0.0,0.31333333333333335,0.31333333333333335,10.0,0.0,True,True,False,True
mixed__r0p01__medium,mixed,0.01,MEDIUM,decision_tree,reduced_minus_full_baseline,mutual_information_select_k_best_k11,none_natural,average_precision,5,-0.0021493632543948702,0.0021231232199817947,-0.004785568920398811,0.0004868424116090701,0.17556065494328216,0.1734112916888873,5.0,1.2242852791186283,True,True,False,True
mixed__r0p01__medium,mixed,0.01,MEDIUM,decision_tree,reduced_minus_full_baseline,mutual_information_select_k_best_k11,none_natural,f1,5,0.013378492315084154,0.0868217691991819,-0.09442497275998213,0.12118195739015045,0.07495918966425398,0.08833768197933814,5.0,0.0,True,True,False,True
mixed__r0p01__medium,mixed,0.01,MEDIUM,decision_tree,reduced_minus_full_baseline,mutual_information_select_k_best_k11,none_natural,recall,5,-0.01666666666666667,0.0372677996249965,-0.06294075175333336,0.02960741842000001,0.31333333333333335,0.2966666666666667,10.0,5.319148936170211,True,True,False,True
