scenario_id,attack_type,attack_rate,attack_severity,configuration_id,comparison_type,classifier,reference_classifier,metric,paired_seed_count,mean_difference,std_difference,ci95_low,ci95_high,reference_configuration_id
geographic_route_manipulation__r0p05__medium,geographic_route_manipulation,0.05,MEDIUM,none_natural,logistic_regression_minus_decision_tree,logistic_regression,decision_tree,recall,5,0.282,0.13831525986351292,0.1102589214251414,0.45374107857485857,
geographic_route_manipulation__r0p05__medium,geographic_route_manipulation,0.05,MEDIUM,pairwise_correlation_filter_natural,logistic_regression_minus_decision_tree,logistic_regression,decision_tree,average_precision,5,0.002888933249872938,0.004733816693581207,-0.002988876512647499,0.008766743012393375,
geographic_route_manipulation__r0p05__medium,geographic_route_manipulation,0.05,MEDIUM,pairwise_correlation_filter_natural,logistic_regression_minus_decision_tree,logistic_regression,decision_tree,f1,5,0.03987380645047035,0.042279727637743784,-0.012623409211218503,0.09237102211215921,
geographic_route_manipulation__r0p05__medium,geographic_route_manipulation,0.05,MEDIUM,pairwise_correlation_filter_natural,logistic_regression_minus_decision_tree,logistic_regression,decision_tree,recall,5,0.282,0.13831525986351292,0.1102589214251414,0.45374107857485857,
geographic_route_manipulation__r0p05__medium,geographic_route_manipulation,0.05,MEDIUM,mutual_information_select_k_best_k11,logistic_regression_minus_decision_tree,logistic_regression,decision_tree,average_precision,5,-0.00021795812430145945,0.004639339128565374,-0.005978458495703687,0.005542542247100768,
geographic_route_manipulation__r0p05__medium,geographic_route_manipulation,0.05,MEDIUM,mutual_information_select_k_best_k11,logistic_regression_minus_decision_tree,logistic_regression,decision_tree,f1,5,0.04304891529744494,0.039827016143615106,-0.006402856804001357,0.09250068739889122,
geographic_route_manipulation__r0p05__medium,geographic_route_manipulation,0.05,MEDIUM,mutual_information_select_k_best_k11,logistic_regression_minus_decision_tree,logistic_regression,decision_tree,recall,5,0.3473333333333333,0.1292370775831078,0.18686430686519412,0.5078023598014725,
transaction_record_tampering__r0p05__medium,transaction_record_tampering,0.05,MEDIUM,none_natural,logistic_regression_minus_decision_tree,logistic_regression,decision_tree,average_precision,5,-0.4147293218009291,0.018545212379813002,-0.43775624435200394,-0.3917023992498542,
transaction_record_tampering__r0p05__medium,transaction_record_tampering,0.05,MEDIUM,none_natural,logistic_regression_minus_decision_tree,logistic_regression,decision_tree,f1,5,-0.26225371498572775,0.17344342212839783,-0.47761216796798855,-0.046895262003466914,
transaction_record_tampering__r0p05__medium,transaction_record_tampering,0.05,MEDIUM,none_natural,logistic_regression_minus_decision_tree,logistic_regression,decision_tree,recall,5,-0.12000000000000002,0.11095544651395493,-0.25776938334111066,0.01776938334111064,
transaction_record_tampering__r0p05__medium,transaction_record_tampering,0.05,MEDIUM,pairwise_correlation_filter_natural,logistic_regression_minus_decision_tree,logistic_regression,decision_tree,average_precision,5,-0.4147291958526254,0.018546357229488403,-0.4377575399223256,-0.39170085178292524,
transaction_record_tampering__r0p05__medium,transaction_record_tampering,0.05,MEDIUM,pairwise_correlation_filter_natural,logistic_regression_minus_decision_tree,logistic_regression,decision_tree,f1,5,-0.26225371498572775,0.17344342212839783,-0.47761216796798855,-0.046895262003466914,
transaction_record_tampering__r0p05__medium,transaction_record_tampering,0.05,MEDIUM,pairwise_correlation_filter_natural,logistic_regression_minus_decision_tree,logistic_regression,decision_tree,recall,5,-0.12000000000000002,0.11095544651395493,-0.25776938334111066,0.01776938334111064,
transaction_record_tampering__r0p05__medium,transaction_record_tampering,0.05,MEDIUM,mutual_information_select_k_best_k11,logistic_regression_minus_decision_tree,logistic_regression,decision_tree,average_precision,5,-0.4211402989005035,0.028453040777846425,-0.4564694152738071,-0.38581118252719987,
transaction_record_tampering__r0p05__medium,transaction_record_tampering,0.05,MEDIUM,mutual_information_select_k_best_k11,logistic_regression_minus_decision_tree,logistic_regression,decision_tree,f1,5,-0.2791745173294387,0.1962143079502845,-0.5228067594439672,-0.03554227521491021,
transaction_record_tampering__r0p05__medium,transaction_record_tampering,0.05,MEDIUM,mutual_information_select_k_best_k11,logistic_regression_minus_decision_tree,logistic_regression,decision_tree,recall,5,-0.05733333333333335,0.07281635957820345,-0.14774678550192027,0.033080118835253566,
mixed__r0p01__medium,mixed,0.01,MEDIUM,none_natural,logistic_regression_minus_decision_tree,logistic_regression,decision_tree,average_precision,5,-0.1628981195642484,0.038450941362369304,-0.2106412691509843,-0.11515496997751251,
mixed__r0p01__medium,mixed,0.01,MEDIUM,none_natural,logistic_regression_minus_decision_tree,logistic_regression,decision_tree,f1,5,-0.05538330230943095,0.05053598132274552,-0.11813201093183176,0.007365406312969863,
mixed__r0p01__medium,mixed,0.01,MEDIUM,none_natural,logistic_regression_minus_decision_tree,logistic_regression,decision_tree,recall,5,0.1233333333333333,0.10903618155864085,-0.01205296780974785,0.25871963447641444,
mixed__r0p01__medium,mixed,0.01,MEDIUM,pairwise_correlation_filter_natural,logistic_regression_minus_decision_tree,logistic_regression,decision_tree,average_precision,5,-0.1628981772949695,0.03845082256871779,-0.21064117937990512,-0.11515517521003389,
mixed__r0p01__medium,mixed,0.01,MEDIUM,pairwise_correlation_filter_natural,logistic_regression_minus_decision_tree,logistic_regression,decision_tree,f1,5,-0.05538330230943095,0.05053598132274552,-0.11813201093183176,0.007365406312969863,
mixed__r0p01__medium,mixed,0.01,MEDIUM,pairwise_correlation_filter_natural,logistic_regression_minus_decision_tree,logistic_regression,decision_tree,recall,5,0.1233333333333333,0.10903618155864085,-0.01205296780974785,0.25871963447641444,
