stage,comparison_tier,classifier,phase,metric,unit,candidate_configuration_id,reference_configuration_id,candidate_mean,reference_mean,mean_difference,std_difference,mean_percent_change,ci95_low,ci95_high,n,df,t_critical,aggregation_hierarchy
V0.9-F,primary,logistic_regression,inference,wall_time_sec,seconds,BGWO,K43,1.0260127066198037,1.318436958899547,-0.29242425227974306,0.1362349635188707,-21.85998886618822,-0.46158229536843376,-0.12326620919105233,5,4,2.7764451051977987,ten_repetitions_aggregated_within_seed_before_five_seed_scientific_pairing
V0.9-F,primary,decision_tree,training,absolute_peak_rss_mib,MiB,BGWO,BPSO-K10,157.32421875,156.154453125,1.1697656249999966,0.06866371983004682,0.749125380963968,1.084508359334623,1.2550228906653702,5,4,2.7764451051977987,ten_repetitions_aggregated_within_seed_before_five_seed_scientific_pairing
V0.9-F,primary,decision_tree,training,incremental_peak_rss_mib,MiB,BGWO,BPSO-K10,3.02,2.63,0.38999999999999996,0.013693063937629205,14.829158203565783,0.3729978161277458,0.4070021838722541,5,4,2.7764451051977987,ten_repetitions_aggregated_within_seed_before_five_seed_scientific_pairing
V0.9-F,primary,decision_tree,training,inference_latency_sec,seconds,BGWO,BPSO-K10,0.04078319528169232,0.03646374475996709,0.00431945052172523,0.0033686864649415957,12.361254114556594,0.00013667397545377453,0.008502227067996686,5,4,2.7764451051977987,ten_repetitions_aggregated_within_seed_before_five_seed_scientific_pairing
V0.9-F,primary,decision_tree,training,per_record_latency_sec,seconds,BGWO,BPSO-K10,1.4565426886318684e-06,1.302276598570253e-06,1.5426609006161532e-07,1.203102308907713e-07,12.36125411455659,4.88121340906332e-09,3.036509667141673e-07,5,4,2.7764451051977987,ten_repetitions_aggregated_within_seed_before_five_seed_scientific_pairing
V0.9-F,primary,decision_tree,training,process_cpu_time_sec,seconds,BGWO,BPSO-K10,0.04204234312,0.03756010975999999,0.004482233360000007,0.003604532057038389,12.474296604017281,6.615843982477401e-06,0.008957850876017536,5,4,2.7764451051977987,ten_repetitions_aggregated_within_seed_before_five_seed_scientific_pairing
V0.9-F,primary,decision_tree,training,throughput_records_sec,records/second,BGWO,BPSO-K10,705887.2422991139,785377.1119702574,-79489.86967114345,49758.79779325019,-9.82740151163577,-141273.57514397652,-17706.164198310384,5,4,2.7764451051977987,ten_repetitions_aggregated_within_seed_before_five_seed_scientific_pairing
V0.9-F,primary,decision_tree,training,wall_time_sec,seconds,BGWO,BPSO-K10,0.04078319528169232,0.03646374475996709,0.00431945052172523,0.0033686864649415957,12.361254114556594,0.00013667397545377453,0.008502227067996686,5,4,2.7764451051977987,ten_repetitions_aggregated_within_seed_before_five_seed_scientific_pairing
V0.9-F,primary,decision_tree,inference,absolute_peak_rss_mib,MiB,BGWO,BPSO-K10,154.792421875,154.5571875,0.23523437500000455,0.08593989698361776,0.15223114562778012,0.1285259029492245,0.3419428470507846,5,4,2.7764451051977987,ten_repetitions_aggregated_within_seed_before_five_seed_scientific_pairing
V0.9-F,primary,decision_tree,inference,incremental_peak_rss_mib,MiB,BGWO,BPSO-K10,0.4325,0.4225,0.009999999999999986,0.028504385627478455,2.6179971988795487,-0.02539286808354281,0.04539286808354279,5,4,2.7764451051977987,ten_repetitions_aggregated_within_seed_before_five_seed_scientific_pairing
