stage,classifier,configuration_id,phase,metric,unit,seed_count,mean_of_seed_means,std_of_seed_means,min_of_seed_means,max_of_seed_means,feature_count,input_dataframe_memory_bytes,numpy_dense_nbytes,serialized_model_bytes,measurement_provenance,aggregation_hierarchy
V0.9-F,decision_tree,K43,training,throughput_records_sec,records/second,5,290232.4702701735,21680.80854331741,253587.4335687557,309012.7975102091,43,9632132,9632000,3796,DIRECT_COMPUTATIONAL,seeds_are_scientific_units_ten_repetitions_nested
V0.9-F,decision_tree,K43,training,wall_clock_elapsed_sec,seconds,5,13.14972110748291,1.5297835338607604,12.1766508102417,15.835397386550904,43,9632132,9632000,3796,DIRECT_COMPUTATIONAL,seeds_are_scientific_units_ten_repetitions_nested
V0.9-F,decision_tree,K43,training,wall_time_sec,seconds,5,0.09820005996123655,0.008265765873937,0.09084112600103253,0.11187032290181378,43,9632132,9632000,3796,DIRECT_COMPUTATIONAL,seeds_are_scientific_units_ten_repetitions_nested
V0.9-F,decision_tree,MI-K11,inference,absolute_peak_rss_mib,MiB,5,154.64671875,0.053986579640220966,154.58515625,154.72421875,11,528132,528000,3044,DIRECT_COMPUTATIONAL,seeds_are_scientific_units_ten_repetitions_nested
V0.9-F,decision_tree,MI-K11,inference,incremental_peak_rss_mib,MiB,5,0.4325,0.028777161083053348,0.3875,0.4625,11,528132,528000,3044,DIRECT_COMPUTATIONAL,seeds_are_scientific_units_ten_repetitions_nested
V0.9-F,decision_tree,MI-K11,inference,inference_latency_sec,seconds,5,0.0022047291006242627,0.0002451084973381151,0.001988640478910497,0.0025256714726594963,11,528132,528000,3044,DIRECT_COMPUTATIONAL,seeds_are_scientific_units_ten_repetitions_nested
V0.9-F,decision_tree,MI-K11,inference,monotonic_elapsed_sec,seconds,5,13.474487599980495,0.5084063572624227,12.973624248801206,14.047774958300579,11,528132,528000,3044,DIRECT_COMPUTATIONAL,seeds_are_scientific_units_ten_repetitions_nested
V0.9-F,decision_tree,MI-K11,inference,per_record_latency_sec,seconds,5,3.674548501040439e-07,4.085141622301918e-08,3.314400798184162e-07,4.209452454432494e-07,11,528132,528000,3044,DIRECT_COMPUTATIONAL,seeds_are_scientific_units_ten_repetitions_nested
V0.9-F,decision_tree,MI-K11,inference,process_cpu_time_sec,seconds,5,1.16106753288,0.13194756702641816,1.04506976,1.3340556012,11,528132,528000,3044,DIRECT_COMPUTATIONAL,seeds_are_scientific_units_ten_repetitions_nested
V0.9-F,decision_tree,MI-K11,inference,standby_gap_sec,seconds,5,1.039851049426943e-06,4.024700496116869e-08,9.951792890205979e-07,1.0970354196615517e-06,11,528132,528000,3044,DIRECT_COMPUTATIONAL,seeds_are_scientific_units_ten_repetitions_nested
